ABBR,Primary_Long_Form,Primary_Num_Variants,Alternative_Long_Form,Alternative_Num_Variants,Primary_Long_Form_Score,Alternative_Long_Form_Score
AAA,abdominal aortic aneurysm,1215,aromatic amino acids,35,0.9805,0.8681
ABG,arterial blood gas,99,air-bone gap,25,0.9698,0.7249
ABR,Auditory brainstem response,703,auditory brain stem response,199,0.9474,0.9048
ACE,angiotensin-converting enzyme,4868,affinity capillary electrophoresis,61,0.8365,0.8987
ACL,anterior cruciate ligament,1641,American cutaneous leishmaniasis,77,0.9934,0.7905
ADA,Adenosine deaminase,1181,Americans with Disabilities Act,336,0.975,0.9535
ADL,Activities of Daily Living,1073,activities of daily life,39,0.8479,0.5479
AFB,acid-fast bacilli,279,aflatoxin B1,61,0.9573,0.8971
AFP,alpha-fetoprotein,2595,acute flaccid paralysis,166,0.8481,0.9712
AGA,appropriate for gestational age,257,antigliadin antibodies,62,0.7575,0.4417
AICD,activation-induced cell death,217,automatic implantable cardioverter defibrillator,61,0.8252,0.9216
ALD,alcoholic liver disease,239,anterior latissimus dorsi,109,0.849,0.9726
ALS,amyotrophic lateral sclerosis,2624,advanced life support,228,0.9832,0.9594
AMA,antimitochondrial antibodies,92,American Medical Association,123,0.5117,0.9612
AML,acute myeloid leukemia,3155,renal angiomyolipoma,39,0.9932,0.2829
ANA,Antinuclear antibodies,605,American Nurses Association,47,0.8127,0.9366
ANCA,antineutrophil cytoplasmic antibodies,288,Antineutrophil cytoplasmic autoantibodies,73,0.52,0.5165
ANC,absolute neutrophil count,332,antenatal care,46,0.9719,0.8151
ASA,acetylsalicylic acid,1074,American Society of Anesthesiologists,229,0.7118,0.987
ASD,atrial septal defect,570,Autism Spectrum Disorder,54,0.9741,0.5331
AVF,Arteriovenous fistula,289,abdominal visceral fat,23,0.8669,0.8715
AVR,aortic valve replacement,556,acute vascular rejection,43,0.9758,0.9308
BAL,bronchoalveolar lavage,4221,bioartificial liver,100,0.9489,0.9231
BMI,body mass index,9473,bicuculline methiodide,129,0.9954,0.9768
BMT,bone marrow transplantation,3951,Bone Marrow Transplant,643,0.979,0.9442
CAD,coronary artery disease,5523,computer-aided diagnosis,119,0.9943,0.7142
CDI,Color Doppler imaging,113,Children's Depression Inventory,103,0.6412,0.7167
CEA,carcinoembryonic antigen,4293,carotid endarterectomy,750,0.8921,0.9704
CHF,congestive heart failure,3285,patients with chronic heart failure,341,0.7503,0.3233
CIC,circulating immune complexes,728,clean intermittent catheterization,96,0.9568,0.9685
CML,chronic myelogenous leukemia,1907,cell-mediated lympholysis,156,0.9943,0.7836
CMS,cytoplasmic male sterility,77,chronic mild stress,53,0.92,0.8842
CMV,cytomegalovirus,6833,cucumber mosaic virus,226,0.8872,0.9788
CNS,central nervous system,13496,coagulase-negative staphylococci,322,0.9945,0.9323
CPR,cardiopulmonary resuscitation,1538,C-peptide immunoreactivity,54,0.9681,0.8401
CRP,C-reactive protein,4683,collagen-related peptide,36,0.8654,0.7433
CSA,cross-sectional area,596,colony-stimulating activity,236,0.8889,0.9359
CSF,cerebrospinal fluid,12582,Colony-stimulating factor,417,0.9622,0.9438
CTA,conditioned taste aversion,372,CT angiography,168,0.9676,0.4261
CVA,cerebrovascular accident,222,Cough variant asthma,21,0.7337,0.8657
CVI,Chronic Venous Insufficiency,265,common variable immunodeficiency,125,0.9703,0.9622
CVS,chorionic villus sampling,343,cardiovascular system,32,0.9085,0.4827
DIC,Disseminated intravascular coagulation,1635,differential interference contrast,108,0.9719,0.9417
DIP,distal interphalangeal,119,Desquamative interstitial pneumonia,39,0.96,0.8811
DLCO,diffusing capacity for carbon monoxide,81,carbon monoxide diffusing capacity,68,0.6251,0.9561
DNR,daunorubicin,425,do-not-resuscitate,186,0.54,0.5856
DWI,diffusion-weighted imaging,319,driving while intoxicated,48,0.6341,0.9379
EBL,Estimated blood loss,48,enzootic bovine leukosis,42,0.7595,0.9291
ECG,electrocardiogram,2449,electrocardiographic,1166,0.5029,0.2392
ECT,electroconvulsive therapy,1244,Emission computed tomography,67,0.9303,0.8874
EDD,End-diastolic diameter,29,end-diastolic dimension,25,0.6392,0.5969
EHL,electrohydraulic lithotripsy,47,extensor hallucis longus,25,0.8703,0.8186
EKG,electrocardiogram,123,electrocardiographic,42,0.607,0.204
EMS,Emergency Medical Services,605,ethyl methanesulfonate,306,0.9822,0.9791
EPO,erythropoietin,3111,eosinophil peroxidase,254,0.8635,0.948
ERCP,endoscopic retrograde cholangiopancreatography,1373,Endoscopic retrograde cholangio-pancreatography,91,0.9792,0.9158
ESR,electron spin resonance,1430,erythrocyte sedimentation rate,1315,0.9869,0.9714
FFP,fresh frozen plasma,332,freedom from progression,54,0.9806,0.8401
GCT,cell tumor,220,germ cell tumors,92,0.9088,0.5445
