ABBR,Long_Form,Num_Variants,Long_Form_Score,Count
AAA,abdominal aortic aneurysm,1215,0.9805,1619
ABG,arterial blood gas,99,0.9698,99
ABR,Auditory brainstem response,703,0.9474,903
ACE,angiotensin-converting enzyme,4868,0.8365,5038
ACL,anterior cruciate ligament,1641,0.9934,1669
ACTH,Adrenocorticotropic hormone,2107,0.6679,2107
ADA,Adenosine deaminase,1181,0.975,1190
ADD,Attention Deficit Disorder,179,0.9563,179
ADHD,Attention Deficit Hyperactivity Disorder,1152,0.9931,1930
ADL,Activities of Daily Living,1073,0.8479,1222
AFB,acid-fast bacilli,279,0.9573,349
AFI,amniotic fluid index,111,0.9571,111
AFO,ankle-foot orthosis,40,0.7419,40
AFP,alpha-fetoprotein,2595,0.8481,2794
AGA,appropriate for gestational age,257,0.7575,349
AICD,activation-induced cell death,217,0.8252,217
AIDS,acquired immunodeficiency syndrome,6291,0.9743,6297
AKA,antikeratin antibodies,26,0.5409,37
ALD,alcoholic liver disease,239,0.849,239
ALS,amyotrophic lateral sclerosis,2624,0.9832,2624
ALT,Serum alanine aminotransferase,573,0.2211,573
AMA,antimitochondrial antibodies,92,0.5117,134
AML,acute myeloid leukemia,3155,0.9932,3246
ANA,Antinuclear antibodies,605,0.8127,931
ANCA,antineutrophil cytoplasmic antibodies,288,0.52,381
ANC,absolute neutrophil count,332,0.9719,385
ARB,angiotensin II receptor blocker,41,0.8224,60
ARDS,Adult respiratory distress syndrome,1352,0.5094,1352
ASA,acetylsalicylic acid,1074,0.7118,1074
ASCUS,atypical squamous cells of undetermined significance,210,0.969,210
ASCVD,atherosclerotic cardiovascular disease,31,0.7388,31
ASD,atrial septal defect,570,0.9741,645
AST,serum aspartate transaminase,45,0.1247,45
ATG,antithymocyte globulin,362,0.6292,375
ATN,acute tubular necrosis,316,0.9705,316
AVF,Arteriovenous fistula,289,0.8669,341
AVM,arteriovenous malformation,695,0.9516,913
AVR,aortic valve replacement,556,0.9758,588
BAI,bronchial arterial infusion,15,0.8045,15
BAL,bronchoalveolar lavage,4221,0.9489,4296
BKA,below-knee amputation,12,0.4153,12
BMI,body mass index,9473,0.9954,9519
BMP,bone morphogenetic protein,668,0.9629,739
BMT,bone marrow transplantation,3951,0.979,3976
BNP,B-type natriuretic peptide,332,0.2312,332
BOOP,Bronchiolitis obliterans with organizing pneumonia,49,0.9651,49
BPH,benign prostatic hyperplasia,2461,0.9924,2470
BPP,bovine pancreatic polypeptide,43,0.8558,43
BSO,buthionine sulfoximine,507,0.8314,507
BUN,blood urea nitrogen,937,0.9467,937
BUS,buspirone,9,0.1311,9
CABG,coronary artery bypass grafting,2553,0.9902,2553
CAD,coronary artery disease,5523,0.9943,5546
CBC,complete blood count,126,0.9278,126
CDI,Color Doppler imaging,113,0.6412,113
CEA,carcinoembryonic antigen,4293,0.8921,4316
CHF,congestive heart failure,3285,0.7503,3285
CHOP,C/EBP homologous protein,18,0.6812,18
CIC,circulating immune complexes,728,0.9568,794
CLL,chronic lymphocytic leukemia,2039,0.9693,2058
CML,chronic myelogenous leukemia,1907,0.9943,1918
CMP,cardiomyopathy,54,0.1359,54
CMS,cytoplasmic male sterility,77,0.92,77
CMV,cytomegalovirus,6833,0.8872,6860
