ABBR,a_primary_lp,a_alt_lp,a_answer_logprob_diff,c_primary_lp,c_alt_lp,c_answer_logprob_diff,row_count
AAA,-0.576953125,-6.4,5.823046875,-0.83046875,-2.7609375,1.9304687499999997,5
ABG,-1.5421875,-4.128125,2.5859375,-2.071875,-1.65,-0.421875,5
ABR,-0.12275390625,-2.453125,2.33037109375,-0.487109375,-1.528125,1.041015625,5
ACL,-0.753125,-2.525,1.7718749999999999,-1.09765625,-0.527099609375,-0.570556640625,5
ADA,-0.2035400390625,-3.1625,2.9589599609375,-0.91875,-0.31171875,-0.6070312499999999,5
ADL,-0.1359375,-2.559375,2.4234375000000004,-0.369921875,-1.4359375,1.0660156250000001,5
AFB,-1.23515625,-3.55,2.3148437499999996,-1.8515625,-1.990625,0.1390625000000001,5
AFP,-0.734765625,-2.4875,1.7527343749999997,-1.14375,-1.36015625,0.2164062499999999,5
AGA,-0.99609375,-5.65,4.65390625,-2.2421875,-1.7984375,-0.4437500000000001,5
AICD,-1.21640625,-2.709375,1.4929687500000002,-2.825,-0.61015625,-2.21484375,5
ALD,-1.690625,-3.775,2.0843749999999996,-3.1421875,-0.97890625,-2.16328125,5
ALS,-0.80078125,-4.54375,3.74296875,-1.1234375,-1.9921875,0.8687499999999999,5
AMA,-1.128125,-3.03125,1.903125,-2.0078125,-0.25751953125,-1.75029296875,5
AML,-0.996875,-3.75625,2.7593750000000004,-1.7296875,-1.5734375,-0.15625,5
ANA,-0.491796875,-3.103125,2.611328125,-1.06796875,-0.5568359375,-0.5111328124999999,5
ANCA,-0.497265625,-0.426953125,-0.0703125,-0.640625,-0.10263671875,-0.53798828125,5
ANC,-0.9203125,-3.434375,2.5140625,-1.9828125,-0.95859375,-1.0242187500000002,5
ASA,-0.76796875,-0.85,0.08203125,-1.490625,-0.102978515625,-1.387646484375,5
ASD,-1.04375,-3.246875,2.203125,-1.4046875,-0.725439453125,-0.6792480468750001,5
AVF,-0.10009765625,-5.95625,5.85615234375,-0.2337890625,-2.765625,2.5318359375,5
AVR,-0.81953125,-5.18125,4.3617187500000005,-1.4515625,-1.671875,0.2203124999999999,5
BAL,-0.5982421875,-4.85625,4.2580078125,-0.90859375,-1.24609375,0.3375,5
BMI,-1.5984375,-3.28125,1.6828125,-1.6328125,-1.5578125,-0.07499999999999996,5
BMT,-2.20625,-0.073779296875,-2.1324707031249996,-2.71875,-0.0310546875,-2.6876953125,5
CDI,-0.3505859375,-3.95,3.5994140625,-3.353125,-0.0746826171875,-3.2784423828125,5
CEA,-0.759765625,-2.275,1.515234375,-1.12734375,-1.225,0.09765625,5
CHF,-1.3265625,-3.325,1.9984375,-1.45,-2.590625,1.1406250000000002,5
CIC,-2.4125,-4.24375,1.8312500000000003,-5.54375,-1.19140625,-4.35234375,5
CML,-0.996875,-3.3625,2.3656249999999996,-1.2609375,-1.56484375,0.30390625000000004,5
CMS,-0.50244140625,-7.65,7.14755859375,-0.81484375,-1.6193359375,0.8044921875000001,5
CMV,-0.78828125,-5.83125,5.04296875,-1.5125,-2.103125,0.590625,5
CNS,-1.61953125,-1.75,0.1304687499999999,-2.125,-0.52158203125,-1.60341796875,5
CPR,-0.486328125,-3.771875,3.285546875,-0.59140625,-1.196875,0.6054687499999999,5
CRP,-0.301953125,-5.69375,5.391796875,-0.59921875,-2.21875,1.61953125,5
CSA,-1.5359375,-3.190625,1.6546874999999999,-2.821875,-1.22890625,-1.5929687499999998,5
