ABBR,a_primary_lp,a_alt_lp,a_answer_logprob_diff,c_primary_lp,c_alt_lp,c_answer_logprob_diff,row_count
ACL,-0.740234375,-2.4765625,1.736328125,-1.01953125,-0.3291015625,-0.6904296875,2
ADL,-0.109375,-2.453125,2.34375,-0.4296875,-1.10546875,0.67578125,2
AFB,-1.1484375,-3.3984375,2.25,-1.58203125,-2.18359375,0.6015625,2
AGA,-1.15234375,-5.421875,4.26953125,-1.765625,-1.71484375,-0.05078125,2
AICD,-1.36328125,-2.7109375,1.34765625,-2.9296875,-0.7421875,-2.1875,2
ALS,-0.8046875,-4.203125,3.3984375,-1.65625,-1.58984375,-0.06640625,2
AMA,-0.984375,-2.90625,1.921875,-2.3515625,-0.074462890625,-2.277099609375,2
AML,-1.15234375,-3.8671875,2.71484375,-1.2421875,-1.77734375,0.53515625,2
AVF,-0.06396484375,-6.34375,6.27978515625,-0.16259765625,-2.34375,2.18115234375,2
BMT,-2.19140625,-0.0472412109375,-2.1441650390625,-2.6953125,-0.015869140625,-2.679443359375,2
CHF,-1.15234375,-3.265625,2.11328125,-1.26171875,-2.5,1.23828125,2
CVA,-1.1015625,-3.765625,2.6640625,-1.71484375,-0.4306640625,-1.2841796875,2
CVI,-0.04022216796875,-3.3125,3.27227783203125,-0.3466796875,-1.068359375,0.7216796875,2
CVS,-0.986328125,-6.78125,5.794921875,-1.865234375,-4.546875,2.681640625,2
DIC,-0.06787109375,-4.59375,4.52587890625,-0.904296875,-1.57421875,0.669921875,2
