ABBR,a_primary_lp,a_alt_lp,a_answer_logprob_diff,c_primary_lp,c_alt_lp,c_answer_logprob_diff,row_count
AAA,-0.3525390625,-6.234375,5.8818359375,-0.580078125,-2.08984375,1.509765625,2
ABG,-1.30078125,-3.9921875,2.69140625,-1.53125,-1.921875,0.390625,2
ABR,-0.128662109375,-2.5625,2.433837890625,-0.564453125,-1.4375,0.873046875,2
ADA,-0.05572509765625,-3.6953125,3.63958740234375,-0.787109375,-0.1689453125,-0.6181640625,2
ALD,-1.24609375,-3.8671875,2.62109375,-2.07421875,-1.048828125,-1.025390625,2
ANA,-0.580078125,-3.234375,2.654296875,-0.849609375,-0.896484375,0.046875,2
ASD,-0.96875,-3.484375,2.515625,-0.98046875,-1.1796875,0.19921875,2
CMS,-0.093994140625,-7.390625,7.296630859375,-0.71484375,-0.11865234375,-0.59619140625,2
CMV,-0.646484375,-5.453125,4.806640625,-1.6171875,-1.9453125,0.328125,2
CPR,-0.3642578125,-3.8203125,3.4560546875,-0.5390625,-1.1328125,0.59375,2
CRP,-0.1611328125,-5.421875,5.2607421875,-0.376953125,-2.0546875,1.677734375,2
CSF,-0.9921875,-2.7734375,1.78125,-1.359375,-0.3115234375,-1.0478515625,2
CTA,-0.8515625,-7.40625,6.5546875,-3.1328125,-0.69921875,-2.43359375,2
EBL,-0.25048828125,-2.3046875,2.05419921875,-0.787109375,-0.861328125,0.07421875,2
ECG,-0.7734375,-2.3046875,1.53125,-1.0234375,-1.16015625,0.13671875,2
