ABBR,layer,head,ac_answer_logprob_diff,ac_primary_lp,ac_alt_lp,ac_kl_div,ac_normalized,ac_ie,ca_answer_logprob_diff,ca_primary_lp,ca_alt_lp,ca_kl_div,ca_normalized,ca_ie,aa_ie,cc_ie,bidirectional_ie,ac_count,ca_count,bie_count
AAA,0,0,1.541015625,-0.603515625,-2.14453125,0.002625924581408638,0.008864961071606312,0.03125,5.8896484375,-0.3603515625,-6.25,0.0008737329382496625,-0.0024349225227960963,0.0078125,0.0400390625,0.052734375,0.0234375,2,2,2
AAA,0,1,1.498046875,-0.591796875,-2.08984375,0.0017993376618043152,-0.0030510075832342197,-0.01171875,5.9306640625,-0.3505859375,-6.28125,0.0004903837001686544,-0.011035967642617946,0.048828125,0.0166015625,0.017578125,-0.060546875,2,2,2
AAA,0,2,1.533203125,-0.583984375,-2.1171875,0.002224670033256381,0.006758061931151993,0.0234375,5.9130859375,-0.3525390625,-6.265625,0.0008859370906743463,-0.008427596561817277,0.03125,0.0078125,0.017578125,-0.0078125,2,2,2
AAA,0,3,1.53515625,-0.59765625,-2.1328125,0.0013230240099649793,0.003184494436993361,0.025390625,5.87890625,-0.35546875,-6.234375,0.0011457567733081655,0.0007627518958085549,-0.0029296875,0.0166015625,0.033203125,0.0283203125,2,2,2
AAA,0,4,1.5380859375,-0.5869140625,-2.125,0.0016520089543741266,0.006243410009194355,0.0283203125,5.880859375,-0.353515625,-6.234375,0.00024320945047732586,0.00018135654697134566,-0.0009765625,0.0166015625,0.044921875,0.029296875,2,2,2
AAA,0,5,1.5478515625,-0.5771484375,-2.125,0.0017605820211828074,0.008056975478907812,0.0380859375,5.890625,-0.359375,-6.25,0.0008196547963738786,-0.0036003492167927726,0.0087890625,0.0166015625,0.005859375,0.029296875,2,2,2
AAA,0,6,1.623046875,-0.560546875,-2.18359375,0.008720695654575542,0.03175278993850748,0.11328125,5.91015625,-0.35546875,-6.265625,0.0036417792315627446,-0.008320891430692276,0.0283203125,0.0166015625,0.041015625,0.0849609375,2,2,2
AAA,0,7,1.51171875,-0.5859375,-2.09765625,0.0013245497036816103,0.00014403083904817335,0.001953125,5.9189453125,-0.3623046875,-6.28125,0.0008890134761944497,-0.00853166569662002,0.037109375,0.0166015625,0.037109375,-0.03515625,2,2,2
AAA,0,8,1.560546875,-0.576171875,-2.13671875,0.00242666358105031,0.01314813877571678,0.05078125,5.8837890625,-0.3505859375,-6.234375,0.0016968540774221733,-0.0024401945154406118,0.001953125,0.0166015625,0.025390625,0.048828125,2,2,2
AAA,0,9,1.509765625,-0.591796875,-2.1015625,0.0010712033116663552,-0.0008747290195780719,0.0,5.84375,-0.34375,-6.1875,0.0004302850401397432,0.007947634351460554,-0.0380859375,0.0166015625,0.01171875,0.0380859375,2,2,2
