ABBR,sentence_a,sentence_b,sentence_c,total_effect_a_minus_b,row_count
AAA,6.241943359375,5.788818359375,1.62841796875,0.453125,4
ABG,4.20703125,4.010546875,-1.119921875,0.19648437499999982,5
ABR,1.366015625,0.94609375,-0.06640625,0.419921875,5
ACE,2.76298828125,2.891796875,1.5884765625,-0.12880859374999964,5
ACL,2.634765625,2.459375,-0.33193359375,0.1753906249999999,5
ADA,3.854736328125,3.355859375,-1.13134765625,0.4988769531249999,5
ADL,1.629296875,1.30234375,0.41171875,0.3269531250000002,5
AFB,2.304296875,1.7015625,-0.8,0.6027343749999998,5
AFP,2.48876953125,2.90703125,0.60390625,-0.4182617187500002,5
AGA,5.9572265625,4.9927734375,-1.48984375,0.9644531249999995,5
AICD,2.44375,2.25546875,-3.6125,0.18828125000000018,5
ALD,2.26796875,2.00390625,-2.034765625,0.2640625000000001,5
ALS,4.033203125,4.095703125,0.63671875,-0.0625,1
AMA,nan,nan,nan,nan,0
AML,nan,nan,nan,nan,0
ANA,nan,nan,nan,nan,0
ANCA,nan,nan,nan,nan,0
ANC,nan,nan,nan,nan,0
ASA,nan,nan,nan,nan,0
ASD,nan,nan,nan,nan,0
AVF,nan,nan,nan,nan,0
AVR,nan,nan,nan,nan,0
BAL,nan,nan,nan,nan,0
BMI,nan,nan,nan,nan,0
BMT,nan,nan,nan,nan,0
CAD,nan,nan,nan,nan,0
CDI,nan,nan,nan,nan,0
CEA,nan,nan,nan,nan,0
CHF,nan,nan,nan,nan,0
CIC,nan,nan,nan,nan,0
CML,nan,nan,nan,nan,0
CMS,nan,nan,nan,nan,0
CMV,nan,nan,nan,nan,0
CNS,nan,nan,nan,nan,0
CPR,nan,nan,nan,nan,0
CRP,nan,nan,nan,nan,0
CSA,nan,nan,nan,nan,0
CSF,nan,nan,nan,nan,0
CTA,nan,nan,nan,nan,0
CVA,nan,nan,nan,nan,0
CVI,nan,nan,nan,nan,0
CVS,nan,nan,nan,nan,0
DIC,nan,nan,nan,nan,0
DIP,nan,nan,nan,nan,0
DLCO,nan,nan,nan,nan,0
DNR,nan,nan,nan,nan,0
DWI,nan,nan,nan,nan,0
EBL,nan,nan,nan,nan,0
ECG,nan,nan,nan,nan,0
ECT,nan,nan,nan,nan,0
EDD,nan,nan,nan,nan,0
EHL,nan,nan,nan,nan,0
EKG,nan,nan,nan,nan,0
EMS,nan,nan,nan,nan,0
EPO,nan,nan,nan,nan,0
ERCP,nan,nan,nan,nan,0
ESR,nan,nan,nan,nan,0
FFP,nan,nan,nan,nan,0
GCT,nan,nan,nan,nan,0
GGT,nan,nan,nan,nan,0
GTT,nan,nan,nan,nan,0
GVHD,nan,nan,nan,nan,0
GVH,nan,nan,nan,nan,0
HCT,nan,nan,nan,nan,0
HIV,nan,nan,nan,nan,0
HPV,nan,nan,nan,nan,0
HSV,nan,nan,nan,nan,0
ICA,nan,nan,nan,nan,0
ICD,nan,nan,nan,nan,0
INH,nan,nan,nan,nan,0
ITP,nan,nan,nan,nan,0
IUGR,nan,nan,nan,nan,0
IVC,nan,nan,nan,nan,0
IVP,nan,nan,nan,nan,0
LAD,nan,nan,nan,nan,0
LDL,nan,nan,nan,nan,0
LMP,nan,nan,nan,nan,0
MAI,nan,nan,nan,nan,0
MCA,nan,nan,nan,nan,0
MCH,nan,nan,nan,nan,0
MCV,nan,nan,nan,nan,0
MDI,nan,nan,nan,nan,0
MDS,nan,nan,nan,nan,0
MMF,nan,nan,nan,nan,0
MRA,nan,nan,nan,nan,0
MRCP,nan,nan,nan,nan,0
MRSA,nan,nan,nan,nan,0
MTP,nan,nan,nan,nan,0
MVA,nan,nan,nan,nan,0
NOS,nan,nan,nan,nan,0
NPH,nan,nan,nan,nan,0
NST,nan,nan,nan,nan,0
NTD,nan,nan,nan,nan,0
OCD,nan,nan,nan,nan,0
OTC,nan,nan,nan,nan,0
PAC,nan,nan,nan,nan,0
PCA,nan,nan,nan,nan,0
PCI,nan,nan,nan,nan,0
PCR,nan,nan,nan,nan,0
PDA,nan,nan,nan,nan,0
PEG,nan,nan,nan,nan,0
PET,nan,nan,nan,nan,0
PFO,nan,nan,nan,nan,0
PIC,nan,nan,nan,nan,0
PID,nan,nan,nan,nan,0
PIH,nan,nan,nan,nan,0
PIP,nan,nan,nan,nan,0
PMD,nan,nan,nan,nan,0
PMI,nan,nan,nan,nan,0
PND,nan,nan,nan,nan,0
PPI,nan,nan,nan,nan,0
PRN,nan,nan,nan,nan,0
PSA,nan,nan,nan,nan,0
PTH,nan,nan,nan,nan,0
PTSD,nan,nan,nan,nan,0
PVC,nan,nan,nan,nan,0
RAP,nan,nan,nan,nan,0
RBC,nan,nan,nan,nan,0
RCA,nan,nan,nan,nan,0
ROS,nan,nan,nan,nan,0
RSV,nan,nan,nan,nan,0
SAB,nan,nan,nan,nan,0
SBP,nan,nan,nan,nan,0
SLE,nan,nan,nan,nan,0
SMA,nan,nan,nan,nan,0
STD,nan,nan,nan,nan,0
TBI,nan,nan,nan,nan,0
TEE,nan,nan,nan,nan,0
TIPS,nan,nan,nan,nan,0
TPA,nan,nan,nan,nan,0
TSH,nan,nan,nan,nan,0
TTP,nan,nan,nan,nan,0
VAC,nan,nan,nan,nan,0
VAD,nan,nan,nan,nan,0
VATS,nan,nan,nan,nan,0
VBAC,nan,nan,nan,nan,0
