layer,head,patched_logit_difference,indirect_effect,normalized_restoration
0,0,2.9792630709134613,0.001472355769230769,-0.008634824199436664
0,1,2.9773287259615384,-0.0004619891826923068,-0.021705647193563184
0,2,2.980307241586538,0.0025165264423076925,0.0797237455678799
0,3,2.9730919471153845,-0.004698768028846154,0.037812886932190155
0,4,2.9842247596153846,0.006434044471153844,0.04242620345532743
0,5,2.972235576923077,-0.0055551382211538455,0.05325782056875951
0,6,2.979912860576923,0.0021221454326923075,-0.04195295530123228
0,7,2.974226262019231,-0.0035644531249999995,0.055771355744869806
0,8,2.977993539663461,0.0002028245192307685,-0.013387334581483936
0,9,2.9738731971153842,-0.003917518028846155,0.0023914472381711105
0,10,2.9771784855769234,-0.0006122295673076917,0.054734191037175646
0,11,2.9788348858173075,0.001044170673076923,-0.002829005690330152
0,12,2.978109975961539,0.0003192608173076923,0.03819535344124887
0,13,2.9713078425480766,-0.006482872596153846,0.005317824695765327
0,14,2.9810809795673077,0.0032902644230769227,-0.03810648486811971
0,15,2.9804612379807693,0.002670522836538461,-0.017250494186084205
0,16,2.9774714543269223,-0.0003192608173076926,-0.020402256166389073
0,17,2.970402644230769,-0.007388070913461538,0.020095550406701277
0,18,2.9729116586538464,-0.0048790564903846145,-0.2755522395212621
0,19,2.9761718750000004,-0.0016188401442307691,0.04625032115752435
0,20,2.967611929086539,-0.010178786057692308,0.12002072160052261
0,21,2.9752140925480766,-0.002576622596153846,0.04195742502330516
0,22,2.981381460336538,0.0035907451923076926,-0.017635534497457025
0,23,2.9782639723557693,0.00047325721153846186,0.051882346040161946
1,0,2.9725623497596154,-0.005228365384615384,0.03406230004427316
1,1,2.9735389122596154,-0.004251802884615385,0.036471647995599876
1,2,2.978910006009616,0.0011192908653846153,-0.050384837547148696
1,3,2.978339092548077,0.0005483774038461534,-0.05148814512910408
1,4,2.972701322115385,-0.005089393028846154,0.08691800466134401
1,5,2.9695612980769233,-0.008229417067307692,0.05952741493686265
1,6,2.9790039062499996,0.0012131911057692306,-0.06886769486919161
1,7,2.974601862980769,-0.003188852163461539,-0.037417806001786486
1,8,2.975289212740385,-0.0025015024038461536,0.06619118515020836
1,9,2.9714242788461536,-0.006366436298076923,0.011652230618068228
1,10,2.9738131009615385,-0.003977614182692307,-0.017301858794523985
1,11,2.973234675480769,-0.004556039663461537,-0.0356793862403428
1,12,2.9808593750000005,0.0030686598557692303,-0.050378593049723405
1,13,2.981516676682692,0.0037259615384615382,-0.10876965977228134
1,14,2.981234975961539,0.003444260817307693,-0.08266695581938503
1,15,2.977351262019231,-0.0004394531250000001,0.01951496482677001
1,16,2.974372746394231,-0.00341796875,0.004918718006421036
1,17,2.980543870192307,0.0027531550480769237,-0.0427213829969291
1,18,2.9780348557692307,0.000244140625,-0.020554359814168945
1,19,2.977753155048077,-3.7560096153845085e-05,0.15420975645015564
1,20,2.977001953125,-0.0007887620192307689,-0.029255107761337825
1,21,2.9747070312499995,-0.003083683894230769,0.02118570810382289
1,22,2.9814678485576924,0.003677133413461539,-0.03823337495579537
1,23,2.9772611177884616,-0.0005295973557692311,0.016784946808214588
2,0,2.9752704326923074,-0.0025202824519230766,0.004343394722359164
2,1,2.9763146033653842,-0.0014761117788461538,0.013848356287231578
2,2,2.9775015024038467,-0.00028921274038461495,0.1032330270148791
2,3,2.974823467548077,-0.002967247596153847,0.05625626442940679
2,4,2.9761117788461537,-0.0016789362980769232,0.053095819507619
2,5,2.9794133112980767,0.001622596153846154,0.0012963100938797089
2,6,2.9832895132211537,0.005498798076923077,0.09716573400461784
2,7,2.9809720552884618,0.003181340144230769,0.018129120027616186
2,8,2.979473407451923,0.0016826923076923082,-0.0021477139633934586
2,9,2.981065955528846,0.003275240384615385,0.026410991723931295
2,10,2.9765362079326922,-0.0012545072115384619,0.055539100277957935
2,11,2.9782602163461536,0.00046950120192307694,0.012778423683955977
2,12,2.974752103365385,-0.003038611778846154,0.0704912402219749
2,13,2.9778921274038463,0.00010141225961538419,0.05312668306584582
2,14,2.9755521334134616,-0.0022385817307692306,0.12480645782815361
2,15,2.9736591045673078,-0.004131610576923077,0.013145257539388111
2,16,2.9744103064903844,-0.003380408653846154,0.07832283460318329
2,17,2.974203725961538,-0.0035869891826923084,0.024726275082162477
2,18,2.9756197415865384,-0.0021709735576923082,0.05638836608993559
2,19,2.972442157451923,-0.005348557692307692,0.07899422864356247
2,20,2.9767690805288463,-0.0010216346153846154,0.028971727588360377
2,21,2.979495943509615,0.0017052283653846156,-0.040650405558370926
2,22,2.979417067307693,0.0016263521634615392,-0.00799491674082646
2,23,2.973204627403846,-0.004586087740384616,0.02639123879322601
3,0,2.9754056490384615,-0.0023850661057692314,0.07155846235990913
3,1,2.9752366286057685,-0.0025540865384615385,0.02406477852926113
3,2,2.980055588942307,0.0022648737980769237,0.0509549874255464
3,3,2.979522235576923,0.0017315204326923074,0.08915618187298557
3,4,2.976630108173077,-0.001160606971153846,0.012721152689826733
3,5,2.9750450721153845,-0.0027456430288461536,0.0019711146457117323
3,6,2.979060246394231,0.0012695312499999998,0.015552943474222349
3,7,2.980386117788462,0.002595402644230769,0.005970851161169673
3,8,2.9770883413461537,-0.0007023737980769232,0.05049366768678328
3,9,2.9798565204326923,0.0020658052884615385,0.013748911075074127
3,10,2.981892277644231,0.004101562499999999,0.13814425803409788
3,11,2.980378605769231,0.002587890624999999,0.06331055134616646
3,12,2.9793607271634617,0.0015700120192307697,0.05524261271140511
3,13,2.979631159855769,0.0018404447115384615,0.03706914704383075
3,14,2.9753756009615384,-0.002415114182692308,0.016381429333883965
3,15,2.9747333233173077,-0.0030573918269230765,0.0314431191248187
3,16,2.974819711538461,-0.0029710036057692306,0.0122238900400169
3,17,2.9745154747596154,-0.0032752403846153843,0.08007545442644363
3,18,2.9788611778846152,0.0010704627403846155,-0.013241802654067296
3,19,2.980622746394231,0.0028320312500000003,0.002453057104788353
3,20,2.977118389423077,-0.0006723257211538464,0.007909184049240462
3,21,2.9767578125,-0.001032902644230769,0.04261389094977008
3,22,2.9768066406250004,-0.000984074519230769,0.0034741114950024555
3,23,2.974233774038462,-0.0035569411057692303,0.09056194292708017
4,0,2.973005558894231,-0.00478515625,0.03521092323352042
4,1,2.9770282451923076,-0.000762469951923077,0.0405784785582591
4,2,2.980085637019231,0.0022949218749999997,0.020517759955626803
4,3,2.9724496694711537,-0.005341045673076924,0.021652426654245056
4,4,2.982748647836539,0.004957932692307692,-0.019519197256863345
4,5,2.969888070913461,-0.00790264423076923,0.0240841070992936
4,6,2.975206580528846,-0.002584134615384615,0.05129944827119606
4,7,2.979822716346154,0.002032001201923077,-0.0019017965317742896
4,8,2.978380408653846,0.0005896935096153845,-0.00605837128723461
4,9,2.972224308894231,-0.005566406250000001,0.06770064018419804
4,10,2.9665264423076922,-0.01126427283653846,0.05349264604106401
4,11,2.9804048978365385,0.002614182692307692,-0.007242398977161028
4,12,2.977497746394231,-0.0002929687499999999,0.034631837128921136
4,13,2.9774864783653845,-0.00030423677884615363,0.0026398405936015204
4,14,2.971014873798077,-0.006775841346153846,0.10542910857238502
4,15,2.9729942908653846,-0.004796424278846153,0.02228046934469374
4,16,2.9779747596153845,0.00018404447115384637,0.04758625188877485
4,17,2.973204627403846,-0.004586087740384615,0.06212852916583758
4,18,2.98182842548077,0.004037710336538461,-0.01606503004267743
4,19,2.976870492788462,-0.0009202223557692313,-0.00622822812373868
4,20,2.975642277644231,-0.0021484375,-0.0029168230519377746
4,21,2.974203725961539,-0.0035869891826923075,0.02160358954649681
4,22,2.980179537259615,0.002388822115384615,0.04668190055034953
4,23,2.975893930288462,-0.0018967848557692308,0.014884914798035099
5,0,2.976998197115385,-0.0007925180288461538,0.012025969115572435
5,1,2.975495793269231,-0.0022949218750000005,0.06325773343944809
5,2,2.977291165865385,-0.0004995492788461542,0.019325209620025905
5,3,2.9839768629807684,0.006186147836538461,0.08407501483156045
5,4,2.9751201923076924,-0.002670522836538461,0.0739267209245338
5,5,2.978155048076923,0.0003643329326923078,0.033013198565182915
5,6,2.979052734375,0.0012620192307692306,-0.005033371543800176
5,7,2.981178635817308,0.0033879206730769227,0.0032470788166770394
5,8,2.979319411057692,0.0015286959134615387,0.03712197656180476
5,9,2.9798452524038463,0.0020545372596153843,0.00035474810206111753
5,10,2.9800180288461537,0.0022273137019230773,-0.032919815460517615
5,11,2.9788536658653846,0.0010629507211538463,-0.005360601280932571
5,12,2.9804462139423076,0.0026554987980769227,0.08381997105692673
5,13,2.973955829326923,-0.003834885817307692,0.07876758183373124
5,14,2.9859112079326926,0.008120492788461539,-0.0039036119670399815
5,15,2.9727351262019233,-0.005055588942307692,0.08237646783969675
5,16,2.9799879807692307,0.0021972656250000004,0.030858419493222315
5,17,2.975206580528846,-0.0025841346153846153,0.07020927040459811
5,18,2.975676081730769,-0.0021146334134615383,0.08334455787432987
5,19,2.978072415865385,0.0002817007211538464,-0.031126548963944182
5,20,2.973625300480769,-0.0041654146634615375,0.06210094046832108
5,21,2.9714731069711537,-0.006317608173076922,0.0293453708710571
5,22,2.9763070913461536,-0.0014836237980769237,0.013749743800154184
5,23,2.9818321814903848,0.004041466346153846,0.026340268516086455
6,0,2.9727013221153844,-0.005089393028846154,0.09296201377786475
6,1,2.9748347355769225,-0.002955979567307692,0.01764043284106028
6,2,2.9812913161057697,0.003500600961538462,0.0013016730555805006
6,3,2.9781850961538465,0.0003943810096153846,0.0717534422285033
6,4,2.9796724759615385,0.0018817608173076923,-0.011081992423747264
6,5,2.9787747896634613,0.0009840745192307688,-0.02262271487406834
6,6,2.9721567007211536,-0.005634014423076923,0.06551982702362605
6,7,2.9793719951923077,0.0015812800480769229,-0.01869076663879983
6,8,2.983969350961538,0.006178635817307692,0.017114665347327872
6,9,2.9726712740384618,-0.005119441105769231,0.022337128384225437
6,10,2.9796987680288463,0.0019080528846153848,-0.002958401901401773
6,11,2.9821026141826925,0.004311899038461539,0.010158211878240675
6,12,2.9764385516826914,-0.001352163461538461,0.09471716541675534
6,13,2.974541766826923,-0.0032489483173076925,0.08650541139885251
6,14,2.9764197716346152,-0.0013709435096153845,0.003768199886750342
6,15,2.9757850060096156,-0.0020057091346153844,-0.002806703602347467
6,16,2.9862905649038463,0.008499849759615385,-0.08315963243317692
6,17,2.9770132211538463,-0.000777493990384615,0.06559222613882054
6,18,2.9786996694711543,0.0009089543269230776,0.026295159983243273
6,19,2.975394381009615,-0.002396334134615385,0.05805173619060368
6,20,2.975969050480769,-0.0018216646634615383,0.03357550895005369
6,21,2.975638521634615,-0.002152193509615385,0.09838932805012439
6,22,2.975811298076924,-0.0019794170673076926,0.04294872907923067
6,23,2.976652644230769,-0.0011380709134615383,0.08992978606272847
7,0,2.979894080528846,0.0021033653846153845,0.02693849834694477
7,1,2.9832256610576926,0.005434945913461538,0.04943551633354669
7,2,2.9795898437500004,0.0017991286057692309,0.03980234274780204
7,3,2.979518479567308,0.001727764423076923,0.029635148085717947
7,4,2.977557842548076,-0.00023287259615384573,0.05192014445011622
7,5,2.9863206129807693,0.00852989783653846,-0.006845595135552449
7,6,2.974184945913462,-0.003605769230769231,0.08031185169619501
7,7,2.9796123798076914,0.001821664663461539,0.020228450232511488
7,8,2.974586838942308,-0.003203876201923077,0.09582119720499568
7,9,2.981257512019231,0.0034667968750000003,-0.03336702524018152
7,10,2.977557842548077,-0.00023287259615384573,0.08229809739790726
7,11,2.9762845552884616,-0.001506159855769231,0.028418921437376402
7,12,2.97509765625,-0.0026930588942307688,0.005215381261681042
7,13,2.9801870492788463,0.0023963341346153843,-0.0045540102174995946
7,14,2.974996243990385,-0.002794471153846154,-0.037522383337027024
7,15,2.983052884615385,0.005262169471153846,-0.006884034252294861
7,16,2.9791729266826916,0.001382211538461539,0.02907010505911701
7,17,2.9752291165865383,-0.0025615985576923077,0.07751379895764145
7,18,2.9719200721153842,-0.005870643028846155,0.05960308548369131
7,19,2.976404747596154,-0.0013859675480769234,0.0404037265561317
7,20,2.977723106971154,-6.760817307692457e-05,0.09079077729647882
7,21,2.9769869290865385,-0.0008037860576923073,0.01694310001004336
7,22,2.982219050480769,0.004428335336538462,0.01681543627270676
7,23,2.9810997596153843,0.0033090444711538465,-0.000750446399393867
8,0,2.983214393028846,0.005423677884615386,0.003567768990446393
8,1,2.9813701923076925,0.0035794771634615383,0.0026701834207459177
8,2,2.983954326923077,0.0061636117788461545,-0.027436673396899126
8,3,2.9788949819711545,0.0011042668269230767,0.00026580485006524613
8,4,2.9761192908653844,-0.0016714242788461535,0.06425694178304303
8,5,2.9847393329326923,0.006948617788461538,0.0058590928443649475
8,6,2.981621844951923,0.0038311298076923075,-0.012905150057286787
8,7,2.9807466947115384,0.0029559795673076918,-0.019830807961303636
8,8,2.981005859375,0.003215144230769231,-0.059618766810152386
8,9,2.9803523137019234,0.0025615985576923077,-0.04473683481100183
8,10,2.9799917367788455,0.0022010216346153837,-0.029346052448083408
8,11,2.982696063701923,0.004905348557692308,-0.006218728550407774
8,12,2.9847055288461544,0.006914813701923076,0.0014526053157914655
8,13,2.977689302884616,-0.00010141225961538419,-0.023062871585961004
8,14,2.9808255709134617,0.0030348557692307693,0.007608900172198884
8,15,2.9839956430288463,0.006204927884615384,0.01167825566310283
8,16,2.9791466346153843,0.001355919471153846,-0.013491249432180146
8,17,2.9812988281249995,0.003508112980769231,0.0029347282584362634
8,18,2.9827974759615383,0.005006760817307693,-0.020625444835760967
8,19,2.9801419771634623,0.00235126201923077,0.04564330641746791
8,20,2.9837214543269233,0.005930739182692307,-0.019023782432327004
8,21,2.976678936298077,-0.001111778846153846,0.010528464184728276
8,22,2.9784592848557687,0.0006685697115384614,0.017771918563531178
8,23,2.9785982572115377,0.0008075420673076923,-0.006657530863737852
9,0,2.9862530048076916,0.008462289663461539,-0.05263423271042714
9,1,2.9803372896634617,0.0025465745192307693,-0.0392507875106067
9,2,2.979710036057692,0.0019193209134615388,0.011496294026468947
9,3,2.979792668269231,0.0020019531250000003,0.05620224504967657
9,4,2.9809870793269235,0.0031963641826923067,0.0306699345942189
9,5,2.9817007211538464,0.003910006009615385,0.0031731934925267494
9,6,2.9846717247596155,0.006881009615384615,-0.0012426118893673086
9,7,2.9794208233173074,0.0016301081730769234,0.010649260371151723
9,8,2.981231219951923,0.0034405048076923076,-0.012484384363301265
9,9,2.977730618990385,-6.00961538461539e-05,0.013783744195620777
9,10,2.9814828725961537,0.003692157451923077,-0.009100008085855964
9,11,2.980498798076923,0.0027080829326923076,-0.042567402137988666
9,12,2.973959585336538,-0.0038311298076923075,0.04338820786172188
9,13,2.979424579326923,0.0016338641826923077,-0.020397225066378158
9,14,2.980573918269231,0.0027832031250000005,-0.0015517306149510656
9,15,2.9809720552884618,0.003181340144230769,-0.03715585812280075
9,16,2.9802133413461545,0.002422626201923077,0.00356291595514975
9,17,2.978586989182692,0.0007962740384615383,-0.015739314514512985
9,18,2.9825007512019233,0.004710036057692308,-0.06073325548880308
9,19,2.9794658954326922,0.0016751802884615381,-0.02156183722387972
9,20,2.980630258413462,0.002839543269230769,0.01838665696812832
9,21,2.972235576923077,-0.0055551382211538455,0.026396626727469882
9,22,2.9791992187499994,0.0014085036057692314,0.019410992936786643
9,23,2.9798377403846157,0.0020470252403846155,-0.0018664889084580817
10,0,2.979071514423077,0.0012807992788461536,0.0009958076194551563
10,1,2.9819974459134615,0.004206730769230769,0.027438070902537196
10,2,2.976438551682693,-0.0013521634615384613,0.003176575717339094
10,3,2.981355168269231,0.0035644531250000003,-0.010016050811509958
