ABBR,layer,head,patched_logit_difference,indirect_effect,normalized_restoration,c_to_b_patched_logit_difference,c_to_b_indirect_effect,c_to_b_normalized_restoration,indirect_effect_difference_a_minus_c,count,c_to_b_count
AAA,0,0,4.6728515625,0.0005859375,0.18142689664428793,4.6880859375,0.0158203125,-0.005115996969770508,-0.015234375,5,5
AAA,0,1,4.6833984375,0.0111328125,0.26784361740883483,4.692578125,0.0203125,-0.007164080344546994,-0.0091796875,5,5
AAA,0,2,4.5775390625,-0.0947265625,-0.17535207448250925,4.5849609375,-0.0873046875,0.04966501131140229,-0.0074218749999999944,5,5
AAA,0,3,4.6396484375,-0.0326171875,-1.769230974665757,4.6697265625,-0.0025390625,-0.0005657307385437279,-0.030078124999999997,5,5
AAA,0,4,4.7177734375,0.0455078125,0.05202815007162833,4.675390625,0.003125,-0.0035931190428822465,0.0423828125,5,5
AAA,0,5,4.692578125,0.0203125,-0.09749218662262141,4.6955078125,0.0232421875,-0.006985143906077448,-0.0029296875,5,5
AAA,0,6,4.6896484375,0.0173828125,-0.23939967787793873,4.690625,0.018359375,-0.007050765518275407,-0.0009765625,5,5
AAA,0,7,4.696875,0.024609375,0.008340797471232253,4.68359375,0.011328125,-0.0027461523613727485,0.01328125,5,5
AAA,0,8,4.6890625,0.016796875,-0.04695437151958891,4.6966796875,0.0244140625,-0.008389222517010665,-0.007617187500000001,5,5
AAA,0,9,4.6888671875,0.0166015625,-0.1679884353797397,4.6892578125,0.0169921875,-0.005510074947600996,-0.0003906249999999986,5,5
AAA,0,10,4.683984375,0.01171875,-0.18223583114887468,4.67890625,0.006640625,-0.0026612595821270597,0.005078125,5,5
AAA,0,11,4.675390625,0.003125,-0.36844388474823264,4.6798828125,0.0076171875,-0.012815539313394717,-0.0044921875,5,5
AAA,0,12,4.6837890625,0.0115234375,0.13686796556361774,4.671484375,-0.00078125,-0.001085721115343279,0.012304687500000001,5,5
AAA,0,13,4.6826171875,0.0103515625,-0.006993034384338734,4.6830078125,0.0107421875,-0.004018073629401776,-0.00039062500000000035,5,5
AAA,0,14,4.67265625,0.000390625,-0.25370241783285263,4.6732421875,0.0009765625,-0.0012298034954060049,-0.0005859375,5,5
AAA,0,15,4.6962890625,0.0240234375,-0.1637300282952457,4.684375,0.012109375,-0.007500881509953516,0.011914062500000001,5,5
AAA,0,16,4.6966796875,0.0244140625,0.05094452159669551,4.701171875,0.02890625,-0.010180217101910393,-0.004492187500000001,5,5
AAA,0,17,4.67109375,-0.001171875,-0.07538621777752214,4.6787109375,0.0064453125,-0.0033675304626294617,-0.0076171875,5,5
AAA,0,18,4.701953125,0.0296875,0.057431514822819184,4.676953125,0.0046875,-0.0011462959659636917,0.024999999999999998,5,5
AAA,0,19,4.6916015625,0.0193359375,-0.1764307588220632,4.684765625,0.0125,-0.005267248026913919,0.0068359375,5,5
AAA,0,20,4.69296875,0.020703125,0.018245023679806283,4.657421875,-0.01484375,0.0028572455578653186,0.035546875,5,5
AAA,0,21,4.6837890625,0.0115234375,-0.15694871520958475,4.686328125,0.0140625,-0.006958115732723716,-0.0025390624999999997,5,5
AAA,0,22,4.7041015625,0.0318359375,0.20824984455419235,4.6861328125,0.0138671875,-0.005386989052974853,0.017968750000000002,5,5
AAA,0,23,4.676171875,0.00390625,-0.09038610821219516,4.6931640625,0.0208984375,-0.00826543134024407,-0.0169921875,5,5
AAA,0,24,4.66171875,-0.010546875,-0.5007061211409037,4.3857421875,-0.2865234375,0.06602792314119195,0.27597656249999997,5,5
AAA,0,25,4.6775390625,0.0052734375,-0.16004148417191894,4.691796875,0.01953125,-0.007328897221000821,-0.0142578125,5,5
AAA,0,26,4.7005859375,0.0283203125,-0.12702017919409228,4.6671875,-0.005078125,-0.0015564823187855857,0.0333984375,5,5
AAA,0,27,4.70234375,0.030078125,-0.08794489685794034,4.6947265625,0.0224609375,-0.008253799789492196,0.007617187500000001,5,5
AAA,0,28,4.6869140625,0.0146484375,-0.08723058570884659,4.683984375,0.01171875,-0.007207934862606552,0.0029296875,5,5
AAA,0,29,4.6728515625,0.0005859375,-0.14128617367747803,4.6970703125,0.0248046875,-0.008784746482827404,-0.024218749999999997,5,5
AAA,0,30,4.69140625,0.019140625,0.050078407687103345,4.665625,-0.006640625,0.0006824970936991928,0.025781250000000002,5,5
AAA,0,31,4.7015625,0.029296875,-0.13571044897131856,4.69140625,0.019140625,-0.0069211406220263255,0.010156249999999999,5,5
AAA,1,0,4.684375,0.012109375,-0.41476325671977843,4.6921875,0.019921875,-0.00964029768420278,-0.007812499999999998,5,5
AAA,1,1,4.6693359375,-0.0029296875,-0.18676208437078,4.6951171875,0.0228515625,-0.010465508300118677,-0.02578125,5,5
AAA,1,2,4.682421875,0.01015625,0.01027099614056135,4.682421875,0.01015625,-0.0029620672601616584,0.0,5,5
AAA,1,3,4.69296875,0.020703125,0.0029562505649462084,4.690234375,0.01796875,-0.005106498914950693,0.0027343750000000007,5,5
AAA,1,4,4.674609375,0.00234375,-0.1622906412036847,4.68359375,0.011328125,-0.003355259230111822,-0.008984375,5,5
AAA,1,5,4.6833984375,0.0111328125,-0.06678936613719223,4.6947265625,0.0224609375,-0.006558253838668366,-0.011328125,5,5
AAA,1,6,4.70390625,0.031640625,-0.15714413866587784,4.68359375,0.011328125,-0.004920057406501097,0.020312499999999997,5,5
AAA,1,7,4.6845703125,0.0123046875,-0.12324414715719065,4.6880859375,0.0158203125,-0.006237809032011469,-0.0035156249999999997,5,5
AAA,1,8,4.6953125,0.023046875,-0.12431291583465495,4.6724609375,0.0001953125,0.0006680214381752509,0.022851562500000002,5,5
AAA,1,9,4.6703125,-0.001953125,-0.09755652886087669,4.6798828125,0.0076171875,-0.003921608706013169,-0.0095703125,5,5
AAA,1,10,4.686328125,0.0140625,0.10330622961057745,4.69453125,0.022265625,-0.008182239618412825,-0.008203125,5,5
AAA,1,11,4.6984375,0.026171875,0.17334528964963747,4.6921875,0.019921875,-0.005920971310569012,0.006250000000000002,5,5
AAA,1,12,4.6931640625,0.0208984375,-0.15337532424488948,4.6884765625,0.0162109375,-0.005953340041446034,0.004687499999999997,5,5
AAA,1,13,4.671875,-0.000390625,-0.17697110762328155,4.666796875,-0.00546875,-0.00012736186670789414,0.005078124999999999,5,5
AAA,1,14,4.6908203125,0.0185546875,0.03274500861457382,4.691015625,0.01875,-0.0069879909314875645,-0.0001953124999999993,5,5
AAA,1,15,4.6794921875,0.0072265625,-0.39047659547659547,4.6708984375,-0.0013671875,-4.3835706886838184e-05,0.00859375,5,5
AAA,1,16,4.6833984375,0.0111328125,0.12631629044672524,4.6767578125,0.0044921875,-0.0023727757577879077,0.006640625000000001,5,5
AAA,1,17,4.696875,0.024609375,0.19557456057456057,4.693359375,0.02109375,-0.007060444257668297,0.003515624999999998,5,5
AAA,1,18,4.6787109375,0.0064453125,-0.19572858203292987,4.70546875,0.033203125,-0.01051388698232029,-0.0267578125,5,5
AAA,1,19,4.682421875,0.01015625,-0.2381261589957242,4.6912109375,0.0189453125,-0.005431430992026759,-0.008789062499999998,5,5
AAA,1,20,4.6970703125,0.0248046875,0.10199299329734113,4.66796875,-0.004296875,0.0019836642631529404,0.029101562499999997,5,5
AAA,1,21,4.683203125,0.0109375,-0.044094483659701054,4.6970703125,0.0248046875,-0.009283248965760552,-0.0138671875,5,5
AAA,1,22,4.68984375,0.017578125,-0.16973845386888867,4.6837890625,0.0115234375,-0.004135413782234551,0.006054687499999999,5,5
AAA,1,23,4.676953125,0.0046875,0.03450416211285776,4.671484375,-0.00078125,-0.0015764482507464928,0.00546875,5,5
AAA,1,24,4.6625,-0.009765625,-0.3431139287661027,4.6890625,0.016796875,-0.004866368465162164,-0.0265625,5,5
AAA,1,25,4.68359375,0.011328125,-0.028144716622977496,4.6701171875,-0.0021484375,-0.0011323796262451872,0.0134765625,5,5
AAA,1,26,4.68203125,0.009765625,-0.5718994792907836,4.6474609375,-0.0248046875,0.0031591390684621414,0.0345703125,5,5
AAA,1,27,4.6986328125,0.0263671875,0.19473667343232556,4.67734375,0.005078125,-0.0027748461985183637,0.0212890625,5,5
AAA,1,28,4.6888671875,0.0166015625,-0.006349913306435045,4.69765625,0.025390625,-0.009106964010712235,-0.0087890625,5,5
AAA,1,29,4.6958984375,0.0236328125,0.05768232355188877,4.674609375,0.00234375,-0.0035345991592857008,0.0212890625,5,5
AAA,1,30,4.690234375,0.01796875,0.12956879196009632,4.6796875,0.007421875,-0.004215782571305624,0.010546874999999999,5,5
AAA,1,31,4.6828125,0.010546875,-0.4313341632906851,4.6765625,0.004296875,-0.0032604386754010715,0.00625,5,5
AAA,2,0,4.6837890625,0.0115234375,0.015660720008546094,4.68828125,0.016015625,-0.005858596803312465,-0.004492187499999998,5,5
AAA,2,1,4.6685546875,-0.0037109375,-0.2101013753187666,4.690234375,0.01796875,-0.005839563843786785,-0.0216796875,5,5
AAA,2,2,4.676953125,0.0046875,-0.21150852281287066,4.687109375,0.01484375,-0.006430481033796276,-0.010156249999999999,5,5
AAA,2,3,4.677734375,0.00546875,-0.07413594044028828,4.6869140625,0.0146484375,-0.005899995896698243,-0.0091796875,5,5
AAA,2,4,4.6958984375,0.0236328125,0.1665818220166046,4.6974609375,0.0251953125,-0.007573911146646466,-0.0015625000000000014,5,5
AAA,2,5,4.656640625,-0.015625,-0.2508622791231487,4.6685546875,-0.0037109375,-0.0008206133355560805,-0.0119140625,5,5
AAA,2,6,4.69921875,0.026953125,-0.022254224428137473,4.66328125,-0.008984375,0.0006789037262046398,0.0359375,5,5
AAA,2,7,4.708203125,0.0359375,0.1925715530063356,4.7125,0.040234375,-0.013767947761089316,-0.0042968750000000056,5,5
AAA,2,8,4.684375,0.012109375,0.02562079714253627,4.6779296875,0.0056640625,-0.002175000353884241,0.0064453125000000005,5,5
AAA,2,9,4.675,0.002734375,-0.2077987914944437,4.66796875,-0.004296875,0.0010678804115925545,0.00703125,5,5
AAA,2,10,4.683984375,0.01171875,-0.12756744430657477,4.666015625,-0.00625,-0.0022016324369874066,0.01796875,5,5
AAA,2,11,4.6912109375,0.0189453125,0.18058898211072125,4.6796875,0.007421875,-0.002059984677019427,0.011523437499999999,5,5
AAA,2,12,4.6876953125,0.0154296875,-0.13124093689311084,4.687890625,0.015625,-0.0051755166385079755,-0.0001953124999999993,5,5
AAA,2,13,4.69609375,0.023828125,-0.08290616551486117,4.68671875,0.014453125,-0.0048829542527927105,0.009374999999999998,5,5
AAA,2,14,4.684375,0.012109375,-0.024720991894904946,4.68515625,0.012890625,-0.004805311656480292,-0.000781249999999999,5,5
AAA,2,15,4.6767578125,0.0044921875,0.03474864344429562,4.6875,0.015234375,-0.004670701733046079,-0.0107421875,5,5
AAA,2,16,4.6978515625,0.0255859375,0.04898278180886877,4.6970703125,0.0248046875,-0.009170883502294109,0.0007812500000000007,5,5
AAA,2,17,4.665625,-0.006640625,-0.25195853500201326,4.67265625,0.000390625,0.0003082462188207913,-0.00703125,5,5
AAA,2,18,4.6767578125,0.0044921875,-0.26348058913276307,4.66875,-0.003515625,0.0006456602280580268,0.0080078125,5,5
AAA,2,19,4.6953125,0.023046875,0.1692184157401549,4.7009765625,0.0287109375,-0.013335468403980876,-0.005664062499999997,5,5
AAA,2,20,4.68515625,0.012890625,-0.11560860799991238,4.6802734375,0.0080078125,-0.0018070688679616476,0.0048828125,5,5
AAA,2,21,4.6833984375,0.0111328125,0.005751645534254229,4.6703125,-0.001953125,-0.0007105882947022939,0.0130859375,5,5
AAA,2,22,4.69921875,0.026953125,0.19362911862911864,4.69375,0.021484375,-0.006848100833951527,0.005468750000000001,5,5
AAA,2,23,4.689453125,0.0171875,0.09502425502425502,4.6783203125,0.0060546875,-0.006066519589907281,0.011132812500000002,5,5
AAA,2,24,4.6890625,0.016796875,0.15138616573399183,4.710546875,0.03828125,-0.014229974617593167,-0.021484375000000003,5,5
AAA,2,25,4.6732421875,0.0009765625,-0.19381476337998077,4.6982421875,0.0259765625,-0.008553851210964511,-0.025,5,5
AAA,2,26,4.66171875,-0.010546875,-0.24683819118601721,4.675,0.002734375,-0.0009543445490478107,-0.013281250000000001,5,5
AAA,2,27,4.678125,0.005859375,-0.2377380238249803,4.676953125,0.0046875,-0.0022914881278458684,0.0011718750000000002,5,5
AAA,2,28,4.6904296875,0.0181640625,-0.19090713242887153,4.6849609375,0.0126953125,-0.004102044305732829,0.005468750000000001,5,5
AAA,2,29,4.67109375,-0.001171875,-0.13662152575196054,4.696484375,0.02421875,-0.007958809399403369,-0.025390625,5,5
AAA,2,30,4.693359375,0.02109375,0.15186341860254904,4.6986328125,0.0263671875,-0.009479131543223813,-0.005273437499999999,5,5
AAA,2,31,4.6916015625,0.0193359375,0.1848888870628001,4.686328125,0.0140625,-0.006642128454241619,0.0052734375,5,5
AAA,3,0,4.695703125,0.0234375,0.2096476379085075,4.696484375,0.02421875,-0.0055531813989403486,-0.0007812500000000007,5,5
AAA,3,1,4.679296875,0.00703125,-0.14836631249674728,4.6849609375,0.0126953125,-0.004470868523415828,-0.0056640625,5,5
AAA,3,2,4.678125,0.005859375,0.0313807696416392,4.6861328125,0.0138671875,-0.005594505307396938,-0.0080078125,5,5
AAA,3,3,4.6748046875,0.0025390625,0.026339080034732204,4.6859375,0.013671875,-0.004214513963492804,-0.0111328125,5,5
AAA,3,4,4.679296875,0.00703125,-0.1651829056176882,4.623828125,-0.0484375,0.006376945229465958,0.055468750000000004,5,5
AAA,3,5,4.665625,-0.006640625,-0.18968983425505168,4.695703125,0.0234375,-0.00797568867344058,-0.030078125,5,5
AAA,3,6,4.6921875,0.019921875,0.001721641069467155,4.7029296875,0.0306640625,-0.00845803786495264,-0.0107421875,5,5
AAA,3,7,4.6556640625,-0.0166015625,-0.2826368402455359,4.6642578125,-0.0080078125,0.00031196539337305444,-0.00859375,5,5
AAA,3,8,4.7056640625,0.0333984375,-0.011511549555027822,4.6888671875,0.0166015625,-0.003411215123084238,0.016796875000000003,5,5
AAA,3,9,4.6642578125,-0.0080078125,-0.1681772712207495,4.6830078125,0.0107421875,-0.002228366773228601,-0.01875,5,5
AAA,3,10,4.683984375,0.01171875,0.08125272886142451,4.6703125,-0.001953125,-0.0010499822684156205,0.013671875,5,5
AAA,3,11,4.6765625,0.004296875,-0.13456599804425892,4.65390625,-0.018359375,0.005707175084434664,0.022656250000000003,5,5
AAA,3,12,4.69453125,0.022265625,-0.17659586007412095,4.6720703125,-0.0001953125,-0.0006672170882498212,0.0224609375,5,5
AAA,3,13,4.669140625,-0.003125,-0.23079625231799145,4.6865234375,0.0142578125,-0.0052970797711545505,-0.0173828125,5,5
AAA,3,14,4.712890625,0.040625,-0.003970839188230496,4.6859375,0.013671875,-0.004922483965498865,0.026953125,5,5
AAA,3,15,4.6734375,0.001171875,-0.21452847191977628,4.6890625,0.016796875,-0.005841900938749171,-0.015625,5,5
