row_index,ABBR,example,D_A,D_B,D_C,D_A_minus_D_B,L1H30_patched_logit_difference,L1H30_indirect_effect,L1H30_normalized_restoration,L1H24_patched_logit_difference,L1H24_indirect_effect,L1H24_normalized_restoration,L7H6_patched_logit_difference,L7H6_indirect_effect,L7H6_normalized_restoration,L3H4_patched_logit_difference,L3H4_indirect_effect,L3H4_normalized_restoration,MLP_L0_patched_logit_difference,MLP_L0_indirect_effect,MLP_L0_normalized_restoration,MLP_L14_patched_logit_difference,MLP_L14_indirect_effect,MLP_L14_normalized_restoration,MLP_L31_patched_logit_difference,MLP_L31_indirect_effect,MLP_L31_normalized_restoration
0,AAA,1,5.5888671875,5.123046875,0.99609375,0.4658203125,5.15234375,0.029296875,0.06289308176100629,5.134765625,0.01171875,0.025157232704402517,5.150390625,0.02734375,0.05870020964360587,5.087890625,-0.03515625,-0.07547169811320754,4.859375,-0.263671875,-0.5660377358490566,5.15625,0.033203125,0.07127882599580712,5.119140625,-0.00390625,-0.008385744234800839
1,AAA,2,6.2666015625,6.0751953125,2.072265625,0.19140625,6.1689453125,0.09375,0.4897959183673469,6.1376953125,0.0625,0.32653061224489793,6.044921875,-0.0302734375,-0.15816326530612246,6.15625,0.0810546875,0.42346938775510207,5.873046875,-0.2021484375,-1.0561224489795917,6.0654296875,-0.009765625,-0.05102040816326531,6.0625,-0.0126953125,-0.0663265306122449
2,AAA,3,5.7978515625,5.6484375,3.408203125,0.1494140625,5.595703125,-0.052734375,-0.35294117647058826,5.68359375,0.03515625,0.23529411764705882,5.6640625,0.015625,0.10457516339869281,5.642578125,-0.005859375,-0.0392156862745098,5.6591796875,0.0107421875,0.0718954248366013,5.7265625,0.078125,0.5228758169934641,5.65234375,0.00390625,0.026143790849673203
3,AAA,4,4.9072265625,4.650390625,1.7421875,0.2568359375,4.599609375,-0.05078125,-0.19771863117870722,4.6640625,0.013671875,0.053231939163498096,4.607421875,-0.04296875,-0.16730038022813687,4.615234375,-0.03515625,-0.13688212927756654,4.708984375,0.05859375,0.22813688212927757,4.607421875,-0.04296875,-0.16730038022813687,4.59375,-0.056640625,-0.22053231939163498
4,AAA,5,5.537109375,5.634765625,0.15234375,-0.09765625,5.603515625,-0.03125,0.32,5.689453125,0.0546875,-0.56,5.63671875,0.001953125,-0.02,5.634765625,0.0,-0.0,5.693359375,0.05859375,-0.6,5.658203125,0.0234375,-0.24,5.701171875,0.06640625,-0.68
5,ABG,1,2.80078125,2.8828125,-2.16015625,-0.08203125,2.875,-0.0078125,0.09523809523809523,2.8203125,-0.0625,0.7619047619047619,2.875,-0.0078125,0.09523809523809523,2.8203125,-0.0625,0.7619047619047619,2.828125,-0.0546875,0.6666666666666666,2.8203125,-0.0625,0.7619047619047619,2.8203125,-0.0625,0.7619047619047619
6,ABG,2,3.078125,2.87890625,-0.9140625,0.19921875,2.87890625,0.0,0.0,2.859375,-0.01953125,-0.09803921568627451,2.8984375,0.01953125,0.09803921568627451,2.83203125,-0.046875,-0.23529411764705882,3.1015625,0.22265625,1.1176470588235294,2.83203125,-0.046875,-0.23529411764705882,2.8828125,0.00390625,0.0196078431372549
7,ABG,3,2.875,2.9140625,0.5078125,-0.0390625,2.921875,0.0078125,-0.2,2.91796875,0.00390625,-0.1,2.921875,0.0078125,-0.2,2.92578125,0.01171875,-0.3,2.83984375,-0.07421875,1.9,2.88671875,-0.02734375,0.7,2.91796875,0.00390625,-0.1
8,ABG,4,2.96875,2.5078125,-0.64453125,0.4609375,2.54296875,0.03515625,0.07627118644067797,2.52734375,0.01953125,0.0423728813559322,2.5390625,0.03125,0.06779661016949153,2.51171875,0.00390625,0.00847457627118644,2.6171875,0.109375,0.23728813559322035,2.55078125,0.04296875,0.09322033898305085,2.50390625,-0.00390625,-0.00847457627118644
9,ABG,5,3.11328125,2.6640625,-0.4296875,0.44921875,2.66796875,0.00390625,0.008695652173913044,2.67578125,0.01171875,0.02608695652173913,2.68359375,0.01953125,0.043478260869565216,2.671875,0.0078125,0.017391304347826087,2.8203125,0.15625,0.34782608695652173,2.6796875,0.015625,0.034782608695652174,2.6640625,0.0,0.0
10,ABR,1,1.4560546875,1.166015625,-0.0625,0.2900390625,1.17578125,0.009765625,0.03367003367003367,1.18359375,0.017578125,0.06060606060606061,1.16015625,-0.005859375,-0.020202020202020204,1.140625,-0.025390625,-0.08754208754208755,0.9765625,-0.189453125,-0.6531986531986532,1.16015625,-0.005859375,-0.020202020202020204,1.19140625,0.025390625,0.08754208754208755
11,ABR,2,1.3916015625,1.1240234375,-0.04296875,0.267578125,1.1279296875,0.00390625,0.014598540145985401,1.130859375,0.0068359375,0.025547445255474453,1.1298828125,0.005859375,0.021897810218978103,1.1572265625,0.033203125,0.12408759124087591,1.0927734375,-0.03125,-0.11678832116788321,1.130859375,0.0068359375,0.025547445255474453,1.126953125,0.0029296875,0.010948905109489052
12,ABR,3,1.6875,0.8359375,0.12890625,0.8515625,0.8359375,0.0,0.0,0.869140625,0.033203125,0.0389908256880734,0.826171875,-0.009765625,-0.011467889908256881,0.83203125,-0.00390625,-0.0045871559633027525,0.857421875,0.021484375,0.02522935779816514,0.837890625,0.001953125,0.0022935779816513763,0.857421875,0.021484375,0.02522935779816514
13,ABR,4,1.470703125,0.787109375,0.087890625,0.68359375,0.77734375,-0.009765625,-0.014285714285714285,0.837890625,0.05078125,0.07428571428571429,0.806640625,0.01953125,0.02857142857142857,0.8125,0.025390625,0.037142857142857144,0.787109375,0.0,0.0,0.83203125,0.044921875,0.06571428571428571,0.818359375,0.03125,0.045714285714285714
14,ABR,5,1.5576171875,1.09765625,0.2109375,0.4599609375,1.142578125,0.044921875,0.09766454352441614,1.095703125,-0.001953125,-0.004246284501061571,1.09765625,0.0,0.0,1.08203125,-0.015625,-0.03397027600849257,1.103515625,0.005859375,0.012738853503184714,1.09765625,0.0,0.0,1.09765625,0.0,0.0
15,ACE,1,2.421875,2.455078125,0.77734375,-0.033203125,2.4296875,-0.025390625,0.7647058823529411,2.431640625,-0.0234375,0.7058823529411765,2.4296875,-0.025390625,0.7647058823529411,2.52734375,0.072265625,-2.176470588235294,2.451171875,-0.00390625,0.11764705882352941,2.466796875,0.01171875,-0.35294117647058826,2.4296875,-0.025390625,0.7647058823529411
16,ACE,2,2.3515625,2.28125,0.74609375,0.0703125,2.27734375,-0.00390625,-0.05555555555555555,2.30859375,0.02734375,0.3888888888888889,2.298828125,0.017578125,0.25,2.318359375,0.037109375,0.5277777777777778,2.326171875,0.044921875,0.6388888888888888,2.314453125,0.033203125,0.4722222222222222,2.29296875,0.01171875,0.16666666666666666
17,ACE,3,2.28515625,2.1796875,0.3359375,0.10546875,2.17578125,-0.00390625,-0.037037037037037035,2.15234375,-0.02734375,-0.25925925925925924,2.16796875,-0.01171875,-0.1111111111111111,2.19140625,0.01171875,0.1111111111111111,2.115234375,-0.064453125,-0.6111111111111112,2.171875,-0.0078125,-0.07407407407407407,2.1484375,-0.03125,-0.2962962962962963
18,ACE,4,2.244140625,2.1015625,1.109375,0.142578125,2.0859375,-0.015625,-0.1095890410958904,2.107421875,0.005859375,0.0410958904109589,2.06640625,-0.03515625,-0.2465753424657534,2.099609375,-0.001953125,-0.0136986301369863,2.111328125,0.009765625,0.0684931506849315,2.095703125,-0.005859375,-0.0410958904109589,2.083984375,-0.017578125,-0.1232876712328767
19,ACE,5,2.6064453125,2.658203125,0.79296875,-0.0517578125,2.642578125,-0.015625,0.3018867924528302,2.673828125,0.015625,-0.3018867924528302,2.626953125,-0.03125,0.6037735849056604,2.619140625,-0.0390625,0.7547169811320755,2.501953125,-0.15625,3.018867924528302,2.6328125,-0.025390625,0.49056603773584906,2.6171875,-0.041015625,0.7924528301886793
20,ACL,1,2.25390625,2.365234375,0.71484375,-0.111328125,2.384765625,0.01953125,-0.17543859649122806,2.36328125,-0.001953125,0.017543859649122806,2.380859375,0.015625,-0.14035087719298245,2.39453125,0.029296875,-0.2631578947368421,2.453125,0.087890625,-0.7894736842105263,2.380859375,0.015625,-0.14035087719298245,2.37890625,0.013671875,-0.12280701754385964
21,ACL,2,2.1484375,2.333984375,0.255859375,-0.185546875,2.38671875,0.052734375,-0.28421052631578947,2.40234375,0.068359375,-0.3684210526315789,2.373046875,0.0390625,-0.21052631578947367,2.38671875,0.052734375,-0.28421052631578947,2.359375,0.025390625,-0.1368421052631579,2.408203125,0.07421875,-0.4,2.38671875,0.052734375,-0.28421052631578947
22,ACL,3,1.9375,2.46875,-1.05712890625,-0.53125,2.484375,0.015625,-0.029411764705882353,2.46875,0.0,-0.0,2.46875,0.0,-0.0,2.5,0.03125,-0.058823529411764705,2.5205078125,0.0517578125,-0.0974264705882353,2.484375,0.015625,-0.029411764705882353,2.484375,0.015625,-0.029411764705882353
23,ACL,4,2.265625,2.5390625,-0.7548828125,-0.2734375,2.5546875,0.015625,-0.05714285714285714,2.5234375,-0.015625,0.05714285714285714,2.5390625,0.0,-0.0,2.583984375,0.044921875,-0.16428571428571428,2.482421875,-0.056640625,0.20714285714285716,2.560546875,0.021484375,-0.07857142857142857,2.5234375,-0.015625,0.05714285714285714
24,ACL,5,2.3681640625,2.8125,0.619140625,-0.4443359375,2.8125,0.0,-0.0,2.8154296875,0.0029296875,-0.006593406593406593,2.794921875,-0.017578125,0.03956043956043956,2.779296875,-0.033203125,0.07472527472527472,2.49609375,-0.31640625,0.7120879120879121,2.7998046875,-0.0126953125,0.02857142857142857,2.8154296875,0.0029296875,-0.006593406593406593
25,ADA,1,3.11962890625,2.9921875,-0.404296875,0.12744140625,3.0009765625,0.0087890625,0.06896551724137931,2.927734375,-0.064453125,-0.5057471264367817,2.9765625,-0.015625,-0.12260536398467432,3.0029296875,0.0107421875,0.0842911877394636,2.55859375,-0.43359375,-3.4022988505747125,2.947265625,-0.044921875,-0.3524904214559387,2.994140625,0.001953125,0.01532567049808429
26,ADA,2,2.6572265625,2.419921875,-1.1953125,0.2373046875,2.369140625,-0.05078125,-0.2139917695473251,2.470703125,0.05078125,0.2139917695473251,2.416015625,-0.00390625,-0.01646090534979424,2.390625,-0.029296875,-0.12345679012345678,1.9609375,-0.458984375,-1.9341563786008231,2.4375,0.017578125,0.07407407407407407,2.412109375,-0.0078125,-0.03292181069958848
27,ADA,3,2.97021484375,2.23046875,-0.7158203125,0.73974609375,2.265625,0.03515625,0.047524752475247525,2.24609375,0.015625,0.021122112211221122,2.26953125,0.0390625,0.052805280528052806,2.15234375,-0.078125,-0.10561056105610561,1.623046875,-0.607421875,-0.8211221122112211,2.255859375,0.025390625,0.034323432343234324,2.24609375,0.015625,0.021122112211221122
28,ADA,4,3.4541015625,2.90234375,-0.27734375,0.5517578125,2.9169921875,0.0146484375,0.02654867256637168,2.9013671875,-0.0009765625,-0.0017699115044247787,2.9013671875,-0.0009765625,-0.0017699115044247787,2.93359375,0.03125,0.05663716814159292,2.634765625,-0.267578125,-0.4849557522123894,2.91015625,0.0078125,0.01415929203539823,2.912109375,0.009765625,0.017699115044247787
29,ADA,5,3.2548828125,3.5673828125,0.451171875,-0.3125,3.5673828125,0.0,-0.0,3.50390625,-0.0634765625,0.203125,3.5810546875,0.013671875,-0.04375,3.564453125,-0.0029296875,0.009375,3.3115234375,-0.255859375,0.81875,3.58203125,0.0146484375,-0.046875,3.541015625,-0.0263671875,0.084375
30,ADL,1,1.70703125,1.408203125,0.37890625,0.298828125,1.453125,0.044921875,0.1503267973856209,1.435546875,0.02734375,0.0915032679738562,1.41796875,0.009765625,0.032679738562091505,1.40234375,-0.005859375,-0.0196078431372549,1.46484375,0.056640625,0.1895424836601307,1.419921875,0.01171875,0.0392156862745098,1.421875,0.013671875,0.0457516339869281
31,ADL,2,1.494140625,1.36328125,0.724609375,0.130859375,1.34375,-0.01953125,-0.14925373134328357,1.328125,-0.03515625,-0.26865671641791045,1.35546875,-0.0078125,-0.05970149253731343,1.35546875,-0.0078125,-0.05970149253731343,1.35546875,-0.0078125,-0.05970149253731343,1.37109375,0.0078125,0.05970149253731343,1.40625,0.04296875,0.3283582089552239
32,ADL,3,1.791015625,1.2265625,0.0703125,0.564453125,1.232421875,0.005859375,0.010380622837370242,1.236328125,0.009765625,0.01730103806228374,1.240234375,0.013671875,0.02422145328719723,1.234375,0.0078125,0.01384083044982699,1.318359375,0.091796875,0.16262975778546712,1.2265625,0.0,0.0,1.228515625,0.001953125,0.0034602076124567475
33,ADL,4,1.576171875,1.09375,-0.1015625,0.482421875,1.078125,-0.015625,-0.032388663967611336,1.09375,0.0,0.0,1.0703125,-0.0234375,-0.048582995951417005,1.12109375,0.02734375,0.05668016194331984,1.15625,0.0625,0.12955465587044535,1.05859375,-0.03515625,-0.0728744939271255,1.08984375,-0.00390625,-0.008097165991902834
34,ADL,5,2.04296875,1.65625,0.328125,0.38671875,1.662109375,0.005859375,0.015151515151515152,1.662109375,0.005859375,0.015151515151515152,1.634765625,-0.021484375,-0.05555555555555555,1.630859375,-0.025390625,-0.06565656565656566,1.6328125,-0.0234375,-0.06060606060606061,1.6171875,-0.0390625,-0.10101010101010101,1.6640625,0.0078125,0.020202020202020204
