ABBR,sentence_a,sentence_b,sentence_c,total_effect_a_minus_b,row_count
AAA,5.61953125,5.4263671875,1.67421875,0.1931640624999993,5
ABG,2.9671875,2.76953125,-0.728125,0.1976562500000001,5
ABR,1.5126953125,1.0021484375,0.064453125,0.510546875,5
ACE,2.3818359375,2.33515625,0.75234375,0.04667968750000018,5
ACL,2.1947265625,2.50390625,-0.04443359375,-0.3091796874999999,5
ADA,3.0912109375,2.8224609375,-0.4283203125,0.26875000000000027,5
ADL,1.722265625,1.349609375,0.280078125,0.3726562499999999,5
AFB,2.23203125,2.125,-0.6390625,0.10703124999999991,5
AFP,1.905078125,2.11640625,0.35078125,-0.21132812499999987,5
AGA,4.781640625,4.42109375,-0.221875,0.3605468749999998,5
AICD,1.836328125,1.766796875,-1.83701171875,0.06953125000000004,5
ALD,2.81171875,2.38125,-2.0591796875,0.43046874999999973,5
ALS,3.1763671875,3.0275390625,-0.2640625,0.1488281250000001,5
AMA,2.11953125,2.19296875,-1.429296875,-0.07343749999999982,5
AML,2.785546875,2.603515625,-0.10234375,0.1820312500000001,5
ANA,2.9005859375,2.626171875,0.1546875,0.2744140625,5
ANCA,0.26796875,-0.040625,-0.368359375,0.30859375,5
ANC,2.654296875,2.431640625,-1.393359375,0.22265625,5
ASA,0.9052734375,0.896484375,-0.85546875,0.0087890625,5
ASD,3.2203125,2.9546875,0.0953125,0.265625,5
AVF,5.284375,4.5361328125,0.8890625,0.7482421874999998,5
AVR,4.402734375,4.586328125,-0.874609375,-0.18359375,5
BAL,4.51201171875,4.678125,-0.1833984375,-0.16611328124999947,5
BMI,2.475,2.296875,0.608984375,0.1781250000000001,5
BMT,-0.425,-0.709375,-1.59755859375,0.284375,5
CAD,2.498828125,2.644140625,-1.12890625,-0.14531249999999973,5
CDI,3.96328125,2.6625,-2.30263671875,1.30078125,5
CEA,1.5501953125,1.723828125,0.0109375,-0.17363281249999996,5
CHF,2.04921875,1.873046875,0.84296875,0.1761718750000001,5
CIC,2.837109375,1.3953125,-3.330078125,1.4417968749999999,5
CML,2.263671875,2.48671875,0.55703125,-0.2230468750000001,5
CMS,6.3810546875,6.0080078125,1.469921875,0.373046875,5
CMV,4.3947265625,4.42890625,0.15625,-0.0341796875,5
CNS,0.95625,1.05078125,-0.24638671875,-0.09453124999999996,5
CPR,3.387890625,3.1888671875,0.4525390625,0.19902343749999973,5
