ABBR,layer,patched_logit_difference,indirect_effect,normalized_restoration,count
AAA,0,5.355859375,-0.0705078125,-0.3832748098880846,5
AAA,1,5.395703125,-0.0306640625,0.026295244386106087,5
AAA,2,5.42109375,-0.0052734375,-0.6008545344531384,5
AAA,3,5.4671875,0.0408203125,0.09597744805170319,5
AAA,4,5.334765625,-0.0916015625,-0.21102439284535582,5
AAA,5,5.3412109375,-0.08515625,0.09391130609165495,5
AAA,6,5.3859375,-0.0404296875,0.13930154835447345,5
AAA,7,5.40859375,-0.0177734375,0.078830866492997,5
AAA,8,5.4275390625,0.001171875,0.04913766066007435,5
AAA,9,5.425,-0.0013671875,0.005114469213564859,5
AAA,10,5.4208984375,-0.00546875,-0.16570428026771844,5
AAA,11,5.4529296875,0.0265625,-0.017481284902224038,5
AAA,12,5.4439453125,0.017578125,0.13900739534879406,5
AAA,13,5.4201171875,-0.00625,0.1612832768949462,5
AAA,14,5.4515625,0.0251953125,0.05974710343280722,5
AAA,15,5.46796875,0.0416015625,0.15017817070152545,5
AAA,16,5.393359375,-0.0330078125,0.05185407037004723,5
AAA,17,5.40234375,-0.0240234375,0.03804585790123497,5
AAA,18,5.40390625,-0.0224609375,0.01968493693002944,5
AAA,19,5.4150390625,-0.011328125,-0.09795602398120211,5
AAA,20,5.452734375,0.0263671875,-0.06634994343529795,5
AAA,21,5.413671875,-0.0126953125,-0.08652430160671773,5
AAA,22,5.441015625,0.0146484375,-0.04644749188864153,5
AAA,23,5.4197265625,-0.006640625,-0.16398923034790117,5
AAA,24,5.4283203125,0.001953125,-0.030756670403771426,5
AAA,25,5.445703125,0.0193359375,-0.012310153934591995,5
AAA,26,5.4392578125,0.012890625,-0.1370619171551252,5
AAA,27,5.43125,0.0048828125,-0.002066446608774799,5
AAA,28,5.43671875,0.0103515625,-0.05675799005064876,5
AAA,29,5.4408203125,0.014453125,-0.0565996465879558,5
AAA,30,5.430859375,0.0044921875,-0.09189645034186045,5
AAA,31,5.443359375,0.0169921875,-0.12573570679916035,5
ABG,0,2.84140625,0.071875,0.9099792134982216,5
ABG,1,2.73125,-0.03828125,0.41327037520977433,5
ABG,2,2.7390625,-0.03046875,0.4732910585015141,5
ABG,3,2.72578125,-0.04375,0.4707585731418581,5
ABG,4,2.771875,0.00234375,-0.12739887996466087,5
ABG,5,2.7578125,-0.01171875,0.1638056018280562,5
ABG,6,2.775,0.00546875,-0.030953598830836683,5
