layer,patched_logit_difference,indirect_effect,normalized_restoration
0,2.533554256663603,-0.030757410386029416,1.2446899920304932
1,2.560832663143383,-0.00347900390625,-0.048360023127441365
2,2.5672578699448527,0.002946202895220588,0.34144995604955436
3,2.563637408088235,-0.0006742589613970595,0.09083977691678588
4,2.5606833065257355,-0.0036283605238970605,0.3237894558771033
5,2.566358139935662,0.002046472886029411,0.3123659328725861
6,2.5525189568014706,-0.011792710248161767,0.05292348221382929
7,2.555852194393382,-0.00845947265625,0.12575186036014746
8,2.557179888556985,-0.0071317784926470595,-0.06618303654406346
9,2.556540096507353,-0.007771570542279413,0.10570650778708135
10,2.5638255399816177,-0.000486127068014706,0.04410707007455569
11,2.5639160156250003,-0.0003956514246323526,0.036345307104367945
12,2.560434857536765,-0.003876809512867647,-0.058874951911690517
13,2.560991354549632,-0.0033203125,0.025414245319529932
14,2.5650641946231616,0.0007525275735294116,0.108187547363258
15,2.563027774586397,-0.0012838924632352943,0.08810685900184892
16,2.563666130514706,-0.0006455365349264702,0.039714518138031084
17,2.5645608340992645,0.00024916704963235276,0.08468547094759765
18,2.563860724954044,-0.00045094209558823526,0.10122480195325227
19,2.5639117072610293,-0.0003999597886029415,0.13510535338363278
20,2.5653068991268384,0.000995232077205882,-0.06661790876239783
21,2.5637314740349266,-0.0005801930147058827,0.03415575774419238
22,2.5627190085018383,-0.0015926585477941174,0.0013337362064348949
23,2.561522001378677,-0.002789665670955882,0.028678748131014016
24,2.562724034926471,-0.0015876321231617647,0.059308386678874274
25,2.5639289407169117,-0.00038272633272058845,0.03635884780169946
26,2.561213235294118,-0.003098431755514706,-0.03290935231359966
27,2.5630205939797794,-0.0012910730698529414,-0.040608394822581384
28,2.563140510110294,-0.001171156939338235,-0.030035283674226053
29,2.5637049057904413,-0.0006067612591911764,-0.03269659309177532
30,2.5630047966452203,-0.0013068704044117646,-0.04041191798623335
31,2.563611557904412,-0.0007001091452205881,-0.010353652177808181
